track ID, train/test set, vocals
0, validation, -17.685665130615234
1, validation, -20.06678009033203
2, validation, -7.704465389251709
3, validation, -9.445474624633789
4, validation, -33.69972229003906
5, validation, -30.065032958984375
6, validation, -24.689361572265625
7, validation, -20.67000961303711
8, validation, -27.106040954589844
9, validation, 2.4354350566864014
10, validation, -34.638675689697266
11, validation, -46.33498764038086
12, validation, -6.821722030639648
13, validation, -17.727970123291016
