track ID, train/test set, vocals
0, validation, 1.5654630661010742
1, validation, -11.094545364379883
2, validation, -11.55390739440918
3, validation, -9.354053497314453
4, validation, -0.39258313179016113
5, validation, -25.205217361450195
6, validation, -36.535308837890625
7, validation, -34.93528366088867
8, validation, -10.8201904296875
9, validation, -40.04326248168945
10, validation, -14.091827392578125
11, validation, -28.010982513427734
12, validation, -7.351409912109375
13, validation, -20.288333892822266
