track ID, train/test set, vocals
0, validation, -8.75110912322998
1, validation, 0.9119635820388794
2, validation, -2.8017935752868652
3, validation, -3.414689302444458
4, validation, -5.666423320770264
5, validation, -6.073589324951172
6, validation, -4.555849075317383
7, validation, -9.270928382873535
8, validation, -7.643819808959961
9, validation, -5.589559555053711
10, validation, -6.9167070388793945
11, validation, -7.892865180969238
12, validation, -12.035418510437012
13, validation, -8.560656547546387
