track ID, train/test set, vocals
0, validation, 5.705678462982178
1, validation, 1.3654496669769287
2, validation, 3.341172695159912
3, validation, 2.507009267807007
4, validation, 2.7295479774475098
5, validation, -2.3987672328948975
6, validation, 2.398020029067993
7, validation, 1.3881796598434448
8, validation, 2.078634023666382
9, validation, 2.47483229637146
10, validation, 4.193238735198975
11, validation, -6.042530059814453
12, validation, 0.347292423248291
13, validation, -8.160747528076172
