track ID, train/test set, vocals
0, validation, -19.818967819213867
1, validation, -40.9189567565918
2, validation, -22.74795913696289
3, validation, -20.846853256225586
4, validation, -37.3719596862793
5, validation, -14.19467544555664
6, validation, -7.306858539581299
7, validation, -22.014795303344727
8, validation, -22.2142391204834
9, validation, -31.303024291992188
10, validation, -3.544095754623413
11, validation, -10.145594596862793
12, validation, -13.54564380645752
13, validation, -30.94005584716797
