track ID, train/test set, vocals
0, validation, -19.5816650390625
1, validation, -4.559039115905762
2, validation, -27.15480613708496
3, validation, -17.995433807373047
4, validation, -31.95437240600586
5, validation, -21.04785919189453
6, validation, -3.960118532180786
7, validation, -8.405014991760254
8, validation, 2.847573757171631
9, validation, -32.42322540283203
10, validation, -8.188611030578613
11, validation, -42.422821044921875
12, validation, -11.491180419921875
13, validation, -14.978251457214355
