track ID, train/test set, vocals
0, validation, -23.41083526611328
1, validation, -12.520215034484863
2, validation, -4.834933280944824
3, validation, -19.69042205810547
4, validation, -40.10304260253906
5, validation, -36.342342376708984
6, validation, -3.1693129539489746
7, validation, -14.233711242675781
8, validation, 3.3241167068481445
9, validation, -13.1959810256958
10, validation, -14.35774040222168
11, validation, -33.87232971191406
12, validation, -45.81309509277344
13, validation, -4.088602066040039
