track ID, train/test set, vocals
0, validation, -10.323344230651855
1, validation, -20.009122848510742
2, validation, -12.774497985839844
3, validation, -21.716609954833984
4, validation, -40.753868103027344
5, validation, -37.463096618652344
6, validation, -21.700952529907227
7, validation, -30.465984344482422
8, validation, -13.356778144836426
9, validation, -31.128276824951172
10, validation, -3.3700482845306396
11, validation, -21.610050201416016
12, validation, -6.893189430236816
13, validation, -19.457263946533203
