track ID, train/test set, vocals
0, validation, 3.3279130458831787
1, validation, 3.895322322845459
2, validation, 4.2848615646362305
3, validation, 4.13827657699585
4, validation, 6.1356682777404785
5, validation, 5.048084259033203
6, validation, 7.3637495040893555
7, validation, 3.480696678161621
8, validation, 5.214043140411377
9, validation, 4.444929122924805
10, validation, 7.852702617645264
11, validation, 4.045640468597412
12, validation, 5.652531623840332
13, validation, 1.6577999591827393
